,0,1
0,4926874,"Scheffler, M reached on a fielders choice (1-0 B) Woley, R. out at second ss to 2b."
1,4926874,"Moore, B. reached on a fielders choice (1-0 B) Scheffler, M out at second 2b unassisted."
2,4926874,"Greenhill, C to p for Burns, T.."
3,4926874,"Lopez, C. to p for Key."
4,4926874,"Ward, J. to cf."
5,4926874,"Turner, A. to lf for Howell, K.."
6,4926874,Howells bunt in bottom of 8th was reviewed:upheld.
7,4926874,Tharp pinch ran for Moore.
8,4926019,VAN TREECK to p for ELGIN.
9,4926019,BASHLOR reached on a fielders choice to shortstop (1-1 BK) SHIELDS advanced to second HOUGHTON out at third ss to 3b.
10,4926019,"MACLEAN, W to p for ABRAHAMOWICZ."
11,4926019,"STOPP, D to p for MACLEAN, W."
12,4926019,"ROSS, Tyler to 3b for FARQUHAR."
13,4926019,"KRAUSE reached on a fielders choice to pitcher (0-0) WILSON, Jake advanced to second GURNEY out at third p to 3b."
14,4926019,EINSTEIN to p for VAN TREECK.
15,4926019,JONES pinch ran for GRAVES.
16,4926019,JONES to lf.
17,4926019,CAVER to p for EINSTEIN.
18,4926019,"EGNOR to p for STOPP, D."
19,4926019,"WATSON reached on a fielders choice to shortstop (0-1 S) WILLIAMS, M out at second ss to 2b."
20,4926019,"ROSE, Nathan to 3b for ROSS, Tyler."
21,4926019,"FALLON to lf for HAAS, Tyler."
22,4926019,"ROSE, Nathan to 3b for FALLON."
23,4926019,"FALLON to lf for ROSE, Nathan."
24,4925840,M. Mercer to p for L. Knack.
25,4925840,MYERS to p for S.-P..
26,4925840,SCHWARTZENBE reached on a fielders choice to third base (0-0) OREILLY out at home 3b to c.
27,4925840,R. Farmer pinch hit for E. Shelton.
28,4925840,BRANDON to p for MYERS.
29,4925840,WRIGHT to c for RYAN.
30,4925840,N. Tate to p for M. Mercer.
31,4925840,THOMPSON pinch hit for OREILLY.
32,4925840,D. Montagna to p for N. Tate.
33,4926078,B Coetzee reached on a fielders choice (2-2 FKBB) Z Prajzner out at second 2b to ss.
34,4926078,Troy Cordrey to p for A. Bohannon.
35,4926078,S. Toe to p for Troy Cordrey.
36,4926078,D. Cunnigham to p for S. Toe.
37,4926078,T Vail to p for T Sheehan.
38,4926078,Brady Greene to p for D. Cunnigham.
39,4926078,J Boyle to p for T Vail.
40,4926078,Thomas Johns pinch hit for A. Triplett.
41,4926078,Leo Harris pinch ran for Ian Ladner.
42,4926078,Tim Martin pinch ran for Leo Harris.
43,4926078,Leo Harris pinch ran for Thomas Johns.
44,4926078,P. Fullerton pinch hit for C. Simpson.
45,4926626,"Ward, B. reached on a fielders choice to third base:Bramasco, R. out at third 3b unassisted."
46,4926626,"Lamb, D. to p for Rhodes, D.."
47,4926626,"UHL, C. reached on a fielders choice to third base:ESQUERRA, T. out at second 3b to 2b:OYAMA, K. advanced to third."
48,4926626,"VOELKER, M. to p for AGNEW, J.."
49,4926626,"Giroux, A. to p for Lamb, D.."
50,4926626,"Chandler, D. pinch hit for Hsue, N.."
51,4926626,"Leitgeb, B. pinch hit for Koerper, K.."
52,4926626,"Chandler, D. to 2b."
53,4926626,"Nierenberg to p for Giroux, A.."
54,4926626,"GRUNBERG, B. to rf for DENNIS, D.."
55,4926626,"Dicochea, C. pinch hit for Petrie, M.."
56,4926626,"Miller, C. pinch ran for Bramasco, R.."
57,4962314,"Hicks, H. reached on a fielders choice:Potvin, C. out at second ss to 2b."
58,4962314,"Whetstone,B. reached on a fielders choice:Wood,G. out at second 2b to ss."
59,4962314,"Verel, B. to p for Stone, G.."
60,4962314,"McFarland,J. reached on a fielders choice:Baldwin,D. out at second ss to 2b."
61,4962314,"Ziegler,G. to lf for McFarland,J.."
62,4962314,"Ayala, B. pinch hit for Meek, R.."
63,4962314,"Ayala, B. to 2b."
64,4962314,"Geha,L. reached on a fielders choice:Privitera,J. out at second 3b to 2b."
65,4962314,"Ziegenbein,T to p for Wiley,L.."
66,4962314,"Emmet, C. pinch hit for Bibiano, A.."
67,4962314,"Juenger,H. to p for Ziegenbein,T."
68,4962314,"Emmet, C. to rf."
69,4962314,"Brasher, C. pinch hit for Ayala, B.."
70,4962314,"Dodd, B. pinch ran for Emmet, C.."
71,4962314,"Johnson, K. pinch hit for Pearson, RJ."
72,4962314,"Johnson, K. reached on a fielders choice:Dodd, B. out at second 2b to ss."
73,4939597,D. Rhodes pinch ran for C. Newsome.
74,4939597,D. Rhodes to rf.
75,4939597,C. Dillard to cf.
76,4939597,Gray to dh for Begner.
77,4939597,D. Rhodes out at second c to 2b.
78,4939597,McDaniel to p for Hiser.
79,4939597,M. Lopez to p for A. Becerra.
80,4930569,D. Willis reached on a fielders choice (0-2 KF):J. Tejeda out at second ss to 2b.
81,4930569,Jacob to p for Anthony.
82,4930569,C. Kulivan to p for C. Turpin.
83,4930569,E. Orze to p for C. Kulivan.
84,4930569,Zavier reached on a fielders choice (0-2 KS):Bubba advanced to second:Jovante out at third 3b unassisted.
85,4930569,Dimitri to p for Jacob.
86,4930569,B. Bratton pinch hit for J. Tejeda.
87,4930569,B. Bratton to c.
88,4930569,M. Delcambre to p for E. Orze.
89,4930569,Bubba reached on a fielders choice (2-2 BFSFB):Taj out at second ss to 2b.
90,4930569,"P. Howard reached on a fielders choice (1-0 B):S. Iza out at second 2b to ss, out on the play."
91,4926161,"HANSEN, Tyle to p for GUERRERO III."
92,4926161,"LOZA, Robert to p for HANSEN, Tyle."
93,4926161,"Allen, M to p for Hroch, C."
94,4926161,"GONZALES, Ad to p for LOZA, Robert."
95,4926161,"GUARNERE, Ca to p for GONZALES, Ad."
96,4925802,B. Pronger to p for K. Gruller.
97,4925802,"Dallas, M. to p for Beeter, C.."
98,4925802,"Rombach, N. reached on a fielders choice to third base (0-1 F) Stilwell, C. advanced to second Jung, J. out at third 3b unassisted."
99,4925802,"Wilson, K. to rf for Marusak, M.."
100,4925802,T. Fonseca pinch hit for R. Edmondson.
101,4926501,"Torres,J to p for Arnold,H."
102,4926501,Huffman to p for Johnson.
103,4926899,HOGAN reached on a fielders choice (0-0):MILLER advanced to second:McGEEHAN out at third 3b unassisted.
104,4926899,"Fink reached on a fielders choice (1-1 BF):Russell, J. out at second ss to 2b."
105,4926899,Tolve reached on a fielders choice (1-1 FB):Simon out at second 2b to ss.
106,4926899,Torbert to p for Kennedy.
107,4926899,HENDRY to p for MONDAK.
108,4926899,BARTELS reached on a fielders choice (0-2 KF):HOGAN out at second ss to 2b.
109,4926899,BACKMAN to p for HENDRY.
110,4926899,Colina pinch hit for Spratling.
111,4926899,Finney to p for Torbert.
112,4926899,LAZZARO to ss for MARKEY.
113,4926899,FOLZ to 3b.
114,4926899,BARTELS to 2b.
115,4926899,GLANCY pinch hit for MILLER.
116,4929958,"HEINZE, H advanced to second."
117,4929958,J. Gillett to p for C. Burns.
118,4929958,D. Murphy to p for J. Gillett.
119,4929958,"ANDERSON, C to p for BRACKEN, I."
120,4929958,"FISHER , G pinch hit for INNISS, B."
121,4929958,"CHASE , L to p for ANDERSON, C."
122,4929958,C. Clark pinch hit for R. Edmondson.
123,4929958,C. Clark to ss.
124,4929958,C. Dumont to lf.
125,4929958,C. Talbot to cf for N. Soriano.
126,4929958,K. Calderone to p for D. Murphy.
127,4929958,"WILLMON, A to p for CHASE , L."
128,4930920,"Decker, Q to p for Wasson, K."
129,4930920,"Szalkowski,A pinch hit for Sims, L."
130,4930920,"Tittle, R to p for Decker, Q."
131,4930920,"BoykinsJr, K to p for Luna, M."
132,4930920,"Rehkow, J pinch hit for Smead, D."
133,4931577,"Smejkal, P. reached on a fielders choice (2-2 FBSB):Eckhout, B. out at second ss to 2b."
134,4931577,"Esposito, C. reached on a fielders choice (0-0):Goldston, G. advanced to second:Krumwiede,K. advanced to third."
135,4931577,"Lombardi, J. reached on a fielders choice (2-2 BBKK):Esposito, C. out at second ss to 2b."
136,4931577,"Gordon, J. to p for Machado, J.."
137,4931577,Pagliarini to p for Doherty.
138,4931577,Levy to p for Pagliarini.
139,4931577,Gannon to p for Levy.
140,4931577,"Howe, T. to p for Gordon, J.."
141,4931577,Lawrence to p for Gannon.
142,4931577,Cauley pinch ran for Anderson.
143,4931577,"Mohler, J. to p for Howe, T.."
144,4931577,Calarco pinch hit for Minarovic.
145,4925736,HENDRIE reached on a fielders choice ORR out at second ss to 2b.
146,4925736,"FLORES, J. to p for PAREDES."
147,4925736,P. Alford to p for C. Gerard.
148,4925736,K. Madden reached on a fielders choice C. Taylor out at second 1b to ss.
149,4925736,J. Heard to p for P. Alford.
150,4925736,FONDTAIN pinch hit for FEIN.
151,4925736,N. Starliper to p for J. Heard.
152,4925736,SCHMITT to p.
153,4925736,ALAMILLO to 3b for LEONHARDT.
154,4925736,FONDTAIN to 1b.
155,4925736,"/ for FLORES, J.."
156,4925736,ALAMILLO reached on a fielders choice SCHMITT out at second 1b to ss.
157,4925855,X. Jefferson reached on a fielders choice D. Horner out at second ss to 2b.
158,4925855,"Espinal, D. reached on a fielders choice May, H. out at second ss to 2b."
159,4925855,"Hearn, C. reached on a fielders choice, RBI DeGuzman, C. out at second ss to 2b Colon, S. scored."
160,4925855,L. Hardit to p for K. Smith.
161,4925855,"Jimenez, A. pinch hit for Colon, S.."
162,4925855,"Allred, K. to lf for Williams, J.."
163,4925855,"Jurjevich, T to 3b for Jimenez, A.."
164,4926807,Comia out at second c to ss.
165,4926807,Jackson reached on a fielders choice to second base (1-2 KBF) Harding out at second 2b to ss.
166,4926807,LaROCK reached on a fielders choice to first base (1-0 B) NOGALSKI out at second 1b to ss.
167,4926807,ARMSTRONG to p for MAHONEY.
168,4926807,Schmitt to p for Weber.
169,4926807,THELEN reached on a fielders choice to shortstop (1-2 BKS) VYSKOCIL out at second ss unassisted.
170,4926807,Acton to p for Schmitt.
171,4926807,"SCAFFIDI pinch ran for DeYOUNG, N.."
172,4930002,"SMITH,G. to p for JOHNSON,M.."
173,4930002,"DAVIDSON,L. to p for SMITH,G.."
174,4930002,GILBERT to p for SCHULTZ.
175,4930002,"FAULK,Shane pinch hit for Rodriguez, J."
176,4930002,"FAULK,Shane to lf."
177,4930002,"Winebarger, to p for DAVIDSON,L.."
178,4930002,PEPIOT pinch ran for ALL.
179,4930002,MCELWAIN reached on a fielders choice PEPIOT out at second 2b to ss.
180,4930002,PILCHER to p for GILBERT.
181,4930002,"Davila, T. to p for Winebarger,."
182,4930002,MARGROFF to lf for GARGANO.
183,4930002,"Reyna, A. pinch hit for MCLEAN,Zach."
184,4930002,"BARTLEY,D. pinch ran for Bibb, A.."
185,4926902,"Ashworth reached on a fielders choice, RBI (2-2):Cabrera out at second 1b to ss:Marinconz scored, unearned."
186,4926902,HAUS to p for SIMEONE.
187,4926902,MARRERO to p for HAUS.
188,4926902,Villalobos to p for Dollard.
189,4926902,GALLAGHER to p for MARRERO.
190,4926901,EPPARD to p for MATTISON.
191,4926901,CURTIS reached on a fielders choice (2-0):HAGAN out at second ss to 2b.
192,4926901,HANSEN to p for EPPARD.
193,4926901,PURSINGER pinch ran for BRICKMAN.
194,4926901,CURTIS reached on a fielders choice (1-0):PUJOLS out at second ss to 2b.
195,4926901,PURSINGER to 1b.
196,4926901,LONGBRAKE to p for WOLFE.
197,4926901,RANDAZZO to p for HANSEN.
198,4926901,WATSON pinch hit for PUJOLS.
199,4926901,SILVERSTEIN pinch ran for HOWELL.
200,4926901,SILVERSTEIN to cf.
201,4926901,WATSON to dh.
202,4926901,CLEARY to lf.
203,4926901,LACALAMETO to p for LONGBRAKE.
204,4926901,"Dropped foul ball, E3."
205,4926522,"Richter,R to p for Liberatore."
206,4926522,"Edmonson,C to p for Richter,R."
207,4926522,Devereux to p for Corcoran.
208,4926522,"Frey,Z to p for Edmonson,C."
209,4926522,Gomez to p for Devereux.
210,4926522,"Klein,M to p for Frey,Z."
211,4926522,"Harbison,K to c for Magill,G."
212,4926522,Vera to c for Wash.
213,4926522,"Holycross,C to p for Klein,M."
214,4926522,Bach to p for Gomez.
215,4926522,"Kido,J pinch hit for Harbison,K."
216,4926522,"Baker,G pinch hit for Nowaskie,B."
217,4926522,"Barrett,N pinch hit for Ross,S."
218,4926522,Powell to p for Bach.
219,4926522,"Gines,D to dh for Barrow,M."
220,4925770,"Cimillo reached on a fielders choice to shortstop, RBI Trochiano out at second ss to 2b Franco scored."
221,4925770,ALTORFER reached on a fielders choice to shortstop STOHR out at second ss to 2b EASLEY advanced to third.
222,4925770,Solimine to p for Massa.
223,4925770,DORNAK to p for CHILCUTT.
224,4925770,PRICE to p for DORNAK.
225,4925770,COVIN advanced to second.
226,4925803,Seymour reached on a fielders choice (0-2) Dezenzo out at second ss to 2b.
227,4925803,Milheim to p for Burhenn.
228,4925803,L. Smith to p for DiValerio.
229,4925803,Dezenzo reached on a fielders choice (2-0) Todys out at second ss to 2b.
230,4925803,Zimmerman to 1b for Livingston.
231,4925803,Namey to lf for Markoski.
232,4925803,Gahm to p for Milheim.
233,4925803,Martinez to p for L. Smith.
234,4925803,Clegg reached on a fielders choice (1-1) Seymour out at second ss to 2b.
235,4925803,Vance to p for Gahm.
236,4925803,Stetzar to p for Martinez.
237,4925803,Brookman pinch hit for Karaffa.
238,4925803,West advanced to second.
239,4926063,"CAMPA, I. to p for DYE, C.."
240,4926063,Ober reached on a fielders choice (2-2 BKBS) McMahan out at second 2b unassisted.
241,4926063,Melton to rf for McMahan.
242,4926063,Burns to p for Chamberlain.
243,4926063,"FLEBBE, J. to p for CAMPA, I.."
244,4926063,Harvey pinch hit for Mascareas.
245,4926063,Hamilton to c for Claunch.
246,4926063,Harvey to 2b.
247,4926063,Sebby to p for Burns.
248,4926063,Jones pinch hit for Casey.
249,4926063,Jones to lf.
250,4926063,Walling to p for Sebby.
251,4926063,"RUSSELL, L. pinch hit for FULLERTON, H."
252,4926063,"PODSEDNIK, S pinch hit for MANG, C.."
253,4926063,"HUDSON, T. pinch hit for T-RIVERA, K.."
254,4926063,"SCHNEIDER, A pinch hit for BAKER, T.."
255,4929439,"Walter, C to p for Bosch, C."
256,4929439,"Topping, T. to p for Leins, J.."
257,4929439,"Grossi, S. to p for Topping, T.."
258,4929439,"Mitchell, N. to p for Grossi, S.."
259,4929439,"Frye, C to p for Walter, C."
260,4929439,"Duffey, R. to rf for Wolff, M.."
261,4929439,"Yu, B. to p for Mitchell, N.."
262,4929439,"Nelson, K to lf."
263,4929439,"Gabor, J to rf for Lotsis, A."
264,4929439,"DeSalvo, P to 2b for Matsko, N."
265,4929439,"Smith, C. to dh for Thompson, S.."
266,4929439,"Rausch, K. pinch hit for Simourian, J."
267,4929439,"Biggers, Z. reached on a fielders choice Rausch, K. out at second 2b to ss."
268,4929439,"Policelli, C reached on a fielders choice Coritz, M. out at second ss to 2b."
269,4929439,"Smith, A. to c for Policelli, C."
270,4929439,"Duffey, R. to cf."
271,4929439,"Rausch, K. to rf."
272,4929439,"Ferguson, J. to p for Yu, B.."
273,4929439,"Jones, C. to p for Ferguson, J.."
274,4929439,"Gamache, A to dh for Simourian, J."
275,4929439,"Gamache, A reached on a fielders choice Davis, R advanced to second Barreca, T advanced to third Rosen, A out at home p to c."
276,4929439,"Abdalla, N to p for Frye, C."
277,4929439,"Valdez, N. pinch hit for Lowery, E.."
278,4929439,Brenczewski pinch hit for Williamson.
279,4929439,"Reibenspies to dh for Smith, C.."
280,4926865,"DAVENPORT, L to p for KELLY, B.."
281,4926865,"HESTER, E. to lf for UPSHAW, C.."
282,4926865,"BEAVERS, N. to p for DAVENPORT, L."
283,4926865,"STONEKING, G to p for MILES, E.."
284,4926865,"DEARMAN, C. to p for STONEKING, G."
285,4926865,"BODINE, C. pinch hit for HESTER, E.."
286,4926865,"HILL, M. pinch ran for BODINE, C.."
287,4926865,"PARADIS, A. to p for DEARMAN, C.."
288,4926865,"ABBOTT, J. to p for BEAVERS, N.."
289,4926865,"BOTSOE, C. to lf."
290,4926865,"ABBOTT, J. to p for HILL, M.."
291,4926865,"/ for ABBOTT, J.."
292,4926469,"ELGUEZABAL reached on a fielders choice, RBI:PERKINS out at second ss to 2b:BUNTEN advanced to third:KIFFER scored."
293,4926469,"Holland, P to p for Kilcrease, T."
294,4926469,PARKS to p for BAUMGARTNER.
295,4926469,"Paz, A pinch hit for France, A."
296,4926469,"Hill, C pinch ran for Paz, A."
297,4926469,SWANSON to p for PARKS.
298,4926469,"Hill, C to lf."
299,4926469,"Balado, B to p for Holland, P."
300,4926469,"Gotreaux, H pinch ran for Belle, D."
301,4926469,"Jobert, B pinch hit for Sandberg, C."
302,4926469,"Hernandez, E to c for Dufrene, K."
303,4926469,"Dufrene, K to c for Gotreaux, H."
304,4926469,"Jobert, B to dh."
305,4926469,MILAM to p for SWANSON.
306,4926469,"Evans, C to p for Balado, B."
307,4926469,"Lege, E pinch hit for Dufrene, K."
308,4926879,JELINEK to p for ORNIDO.
309,4926879,BENZ to p for JELINEK.
310,4926879,Cunningham to p for Sodersten.
311,4926879,Bortolin pinch hit for Ruiz.
312,4926879,PIZZO to p for BENZ.
313,4926879,Coffey pinch ran for Bortolin.
314,4926879,Moody to rf.
315,4926879,Coffey to 3b.
316,4926879,Doremus to lf.
317,4926879,Clarke to cf for Lucas.
318,4926879,FOSTER pinch hit for WESTERMAN.
319,4926879,KNELL pinch hit for GREIM.
320,4926879,Garcia to p for Cunningham.
321,4926879,HODKINSON to c for McCARTHY.
322,4926879,FOSTER to lf.
323,4926879,KNELL to 2b.
324,4926879,Lizik to p for Garcia.
325,4931485,Peter Marren reached on a fielders choice (0-0) JohnPaul Bel out at second ss to 2b.
326,4931485,Mellott to p for Dees.
327,4931485,Kyle Lyons reached on a fielders choice (2-2 FBSBF) Eunsang Yu out at second 3b to 2b.
328,4931485,Matt Ottsen to p for Nate Grisius.
329,4931485,Steven Walke to p for Matt Ottsen.
330,4931485,Franks pinch ran for Hendershot.
331,4931485,Bartels to 1b for Franks.
332,4931485,Matt Shobe to p for Steven Walke.
333,4931485,Gambino to p for Mellott.
334,4931485,Eunsang Yu reached on a fielders choice (3-2 KFBBFFB) Alex Baumann out at second 3b to 2b.
335,4931485,Nicholas Sad to p for Matt Shobe.
336,4931485,Piacentino to p for Gambino.
337,4931435,"DeStefano, J to p for Frank."
338,4931435,THOMPSON to p for FUNARO.
339,4931435,Steffan reached on a fielders choice:Krzeminski out at second ss to 2b:Kush advanced to third.
340,4931435,"Yankowski to p for DeStefano, J."
341,4931435,SEGUIN to p for THOMPSON.
342,4931435,BECKER to p for SEGUIN.
343,4931435,Ejoh pinch hit for Henneman.
344,4931435,Martins advanced to second.
345,4956950,ONeil to p for Stafflinger.
346,4956950,"Steckline, R to p for Klepchick, D."
347,4956950,Rappaport to p for ONeil.
348,4956950,Bozzuti to rf for Putsky.
349,4956950,/ for ONeil.
350,4956950,"Holmes, R. reached on a fielders choice:Zega, J. out at second ss to 2b."
351,4956950,Hay pinch hit for Bozzuti.
352,4956950,Helmkamp to 3b.
353,4956950,J. Marcano to rf.
354,4956950,Kubiak to 2b for Hay.
355,4956950,Rappaport to p.
356,4956950,"Miller, M. to p for Steckline, R."
357,4956950,Franzoni reached on a fielders choice:J. Marcano out at second 2b to ss.
358,4956950,Cirone to p for Franzoni.
359,4956950,Longo to c.
360,4956950,/ for Rappaport.
361,4956950,Donnelly reached on a fielders choice:Choi out at second 3b to 2b.
362,4956950,Hussey pinch hit for Cirone.
363,4926527,"WALKER, N to p for MILLER, G."
364,4926527,SCHOEN pinch hit for WINAKER.
365,4926527,"DOLAK, J to p for WALKER, N."
366,4926527,SCHOEN to lf.
367,4926527,GROEN to p for JENSEN.
368,4926527,"MILLER, J to p for DOLAK, J."
369,4926527,"KUNST, P reached on a fielders choice (2-1 BFB):McGUIRE, S out at second 2b unassisted."
370,4926527,TELFER to p for GROEN.
371,4926527,"VASQUEZ, C pinch ran for McGUIRE, S."
372,4926859,WEISENSEEL to ss for HAENDIGES.
373,4926859,"THOMAS, P. to 1b for KAIN, H.."
374,4926859,BYRNES to p for HORWEDEL.
375,4926859,"SMITH, G. pinch ran for HUDSON, D.."
376,4926859,"THRONEBERRY to 3b for SMITH, G.."
377,4926859,"GILLUM, G. to p for DAVIDSON, H.."
378,4926859,KUTT to p for BYRNES.
379,4926859,MANIS to p for KUTT.
380,4926859,"CONTORNO pinch ran for KIEFER, B.."
381,4926859,"LANGSTON, L. to c for CONTORNO."
382,4926062,Peterson reached on a fielders choice to shortstop (0-0) DiLoreto out at second ss unassisted.
383,4926062,NU Mound Visit.
384,4926062,Rosen reached on a fielders choice to shortstop (1-1 KB) Beaudet out at second ss to 2b.
385,4926062,Stiehl to p for Murphy.
386,4926062,NU Mound Visit.
387,4926062,Alabama Mound Visit.
388,4926062,Ras to p for Prielipp.
389,4926062,Winkler to p for Stiehl.
390,4926062,Gigliotti to p for Winkler.
391,4926062,Tate pinch hit for Gentry.
392,4926062,Wilson pinch hit for Praytor.
393,4926062,McCleney to lf for Reeves.
394,4926062,Tate to rf.
395,4926062,Wilson to c.
396,4926062,Austin to 2b for Robinson.
397,4926062,Jarvis to ss.
398,4926062,Green to p for Ras.
399,4926062,Jarvis to c for Beaudet.
400,4926062,Balboni to p for Gigliotti.
401,4926062,Hamiter pinch hit for Denton.
402,4926062,Hamiter to 3b.
403,4926062,Smith to p for Green.
404,4926062,Cervone pinch hit for Smith.
405,4926062,Crossen pinch hit for Holzwasser.
406,4925965,HOCKETT to p for WRIGHT.
407,4925965,"BEY, C. reached on a fielders choice (1-0) RUGGIERO, M. advanced to second MARTINEZ, H. out at third 3b unassisted."
408,4925965,"ZUPPE, Nick to p for LAUK, Ryan."
409,4925965,"DAVIS to cf for HANCHEY,Tr.."
410,4925965,MORGAN to p for HOCKETT.
411,4925965,"CIMAROLI, A. pinch hit for MEDRANO, AJ."
412,4925965,"BEY, C. to 3b."
413,4925965,"CIMAROLI, A. to 2b."
414,4925965,"MATTI, E. pinch hit for MARTINEZ, H.."
415,4925965,SANCHEZ to p for MORGAN.
416,4925965,"RUGGIERO, M. reached on a fielders choice (0-2) SCHNEIDER,G. advanced to second MATTI, E. out at third 3b unassisted."
417,4925965,"MATTI, E. to cf."
418,4925965,DELGADO pinch hit for DAVIS.
419,4925965,"WISEMAN, K. to p for ZUPPE, Nick."
420,4926903,Showalter to p for Stewart.
421,4926903,Ottinger to p for Showalter.
422,4926903,"Nelson, B. to p for Swiney."
423,4926903,Morgan pinch hit for Hayes.
424,4926903,Morgan to c.
425,4926903,Jackson pinch ran for Hartigan.
426,4926903,"Klyman to p for Nelson, B.."
427,4926882,Broyles pinch hit for A. Peterson.
428,4926882,"EDWARDS,Chri to p for HATHCOCK,Dyl."
429,4926882,Belk pinch hit for Swanger.
430,4926882,Broyles to lf.
431,4926882,Belk to 1b.
432,4926882,"FORTNER,Trey to p for EDWARDS,Chri."
433,4926882,Veinbergs to p for Bedell.
434,4926882,"RAMIREZ,Javi reached on a fielders choice to second base (1-1 KB):ADAMS,Nash out at second 2b to ss."
435,4926882,"FREDERICK,Co reached on a fielders choice to third base (1-2 FKB):NAISMITH,And advanced to second:KIRKLIN,Tre out at third 3b unassisted."
436,4926882,"WEBB,Alex reached on a fielders choice to second base (2-1 FBB):FREDERICK,Co out at second 2b to ss:NAISMITH,And advanced to third."
437,4926882,"LEWIS,Colton to p for FORTNER,Trey."
438,4926882,Springer to p for Veinbergs.
439,4926882,"ROBINSON,Cha pinch hit for ADAMS,Nash."
440,4926882,"CRAVEN,Taylo pinch hit for RAMIREZ,Javi."
441,4926539,"Weber,A. to p for Seils,J.."
442,4926539,Coutney advanced to second on the throw.
443,4926539,Holiday to p for Gregory.
444,4926539,"Austin,B. reached on a fielders choice (1-1 FB) Brown,N. advanced to second Camper, B. out at third 3b unassisted."
445,4926539,Rivera to p for Holiday.
446,4926539,Parmentier to p for Rivera.
447,4926539,Claxton pinch hit for LaFollette.
448,4926539,Teschko to rf.
449,4926539,Claxton to cf.
450,4926539,Dean to p for Parmentier.
451,4926539,"Cabrera,N. reached on a fielders choice (0-2 SKF) Masters,D. out at second 3b to 2b."
452,4926539,"Clark, C. to p for Weber,A.."
453,4926539,Petracci pinch hit for Claxton.
454,4926539,Teschko to cf.
