school,conference,school_id,year,division,conference_id,abbreviation,trackman_abb
A&M-Corpus Christi,Southland,26172,2019,1,914,AMCC,TEX_ISL
Abilene Christian,Southland,2,2019,1,914,ACU,ABI_WIL
Air Force,MWC,721,2019,1,5486,AFA,AIR_FOR
Alabama,SEC,8,2019,1,911,ALA,ALA_ANM
Alabama A&M,SWAC,6,2019,1,916,AAMU,ALA_CRI
Alabama St.,SWAC,7,2019,1,916,ALST,ALA_HOR
Albany (NY),America East,14,2019,1,845,ALBY,ALB_GRE
Alcorn,SWAC,17,2019,1,916,ALCN,ALC_BRA
Appalachian St.,Sun Belt,27,2019,1,818,APST,APP_MOU
Arizona,Pac-12,29,2019,1,905,ARIZ,ARI_WIL
Arizona St.,Pac-12,28,2019,1,905,ASU,ARI_SUN
Ark.-Pine Bluff,SWAC,2678,2019,1,916,ARPB,ARK_RAZ
Arkansas,SEC,31,2019,1,911,ARK,ARK_LIO
Arkansas St.,Sun Belt,30,2019,1,818,ARST,ASU_RED
Army West Point,Patriot,725,2019,1,838,ARMY,ARM_BLA
Auburn,SEC,37,2019,1,911,AUB,AUB_TIG
Austin Peay,OVC,43,2019,1,902,PEAY,AUS_GOV
Ball St.,MAC,47,2019,1,875,BSU,BAL_CAR
Baylor,Big 12,51,2019,1,25354,BAY,BAY_BEA
Belmont,OVC,14927,2019,1,902,BEL,BEL_BRU
Bethune-Cookman,MEAC,61,2019,1,876,BCU,BET_WIL
Binghamton,America East,62,2019,1,845,BING,BIN_BEA
Boston College,ACC,67,2019,1,821,BC,BOC_EAG
Bowling Green,MAC,71,2019,1,875,BG,BGS_FAL
Bradley,MVC,72,2019,1,884,BRAD,BRA_BRA
Brown,Ivy League,80,2019,1,865,BRWN,BRO_BEA
Bryant,NEC,81,2019,1,846,BRY,BRY_BUL
Bucknell,Patriot,83,2019,1,838,BUCK,BUC_BIS
Butler,Big East,87,2019,1,30184,BUT,BUT_BUL
BYU,WCC,77,2019,1,922,BYU,BYU_COU
Cal Poly,Big West,90,2019,1,904,CP,CAL_MUS
Cal St. Fullerton,Big West,97,2019,1,904,CSF,CAL_FUL
California,Pac-12,107,2019,1,905,CAL,CAL_BEA
California Baptist,WAC,30135,2019,1,923,CBU,CAL_LAN
Campbell,Big South,115,2019,1,826,CAMP,CAM_CAM
Canisius,MAAC,116,2019,1,871,CAN,CAN_GRI
Central Ark.,Southland,1004,2019,1,914,UCA,CEN_BEA
Central Conn. St.,NEC,127,2019,1,846,CCST,CCU_BLD
Central Mich.,MAC,129,2019,1,875,CMU,CEN_MIC
Charleston So.,Big South,48,2019,1,826,CHSO,CHA_BUC
Charlotte,C-USA,458,2019,1,24312,CHAR,CHA_FOR
Chicago St.,WAC,136,2019,1,923,CSU,CHI_COU
Cincinnati,AAC,140,2019,1,823,UC,CIN_BEA
Clemson,ACC,147,2019,1,821,CLEM,CLE_TIG
Coastal Caro.,Sun Belt,149,2019,1,818,CCU,COA_CHA
Col. of Charleston,CAA,1014,2019,1,837,COC,COC_COU
Columbia,Ivy League,158,2019,1,865,COL,COL_LION
Coppin St.,MEAC,165,2019,1,876,COPP,COP_STA
Cornell,Ivy League,167,2019,1,865,CORN,COR_BRE
Creighton,Big East,169,2019,1,30184,CREI,CRE_BLU
CSU Bakersfield,WAC,94,2019,1,923,CSUB,CSU_BAK
CSUN,Big West,101,2019,1,904,CSUN,
Dartmouth,Ivy League,172,2019,1,865,DART,DAR_GRE
Davidson,Atlantic 10,173,2019,1,820,DAV,DAV_WIL
Dayton,Atlantic 10,175,2019,1,820,DAY,DAY_FLY
DBU,MVC,1045,2019,1,884,DBU,DAL_PAT
Delaware,CAA,180,2019,1,837,DEL,DEL_BLU
Delaware St.,MEAC,178,2019,1,876,DEST,DEL_HOR
Duke,ACC,193,2019,1,821,DUKE,DUK_BLU
East Carolina,AAC,196,2019,1,823,ECU,ECU_PIR
Eastern Ill.,OVC,201,2019,1,902,EIU,EIU_PAN
Eastern Ky.,OVC,202,2019,1,902,EKU,EKU_COL
Eastern Mich.,MAC,204,2019,1,875,EMU,EMU_EAG
Elon,CAA,1068,2019,1,837,ELON,ELO_PHO
ETSU,SoCon,198,2019,1,912,ETSU,ETS_BUC
Evansville,MVC,219,2019,1,884,EVAN,EVA_ACE
Fairfield,MAAC,220,2019,1,871,FAIR,FAI_STA
Fairleigh Dickinson,NEC,222,2019,1,846,FDU,FDU_KNI
FGCU,ASUN,28755,2019,1,920,FGCU,FGCU
FIU,C-USA,231,2019,1,24312,FIU,FLO_PAN
Fla. Atlantic,C-USA,229,2019,1,24312,FAU,FAU_OWL
Florida,SEC,235,2019,1,911,UF,FLA_GAT
Florida A&M,MEAC,228,2019,1,876,FAMU,FLO_RAT
Florida St.,ACC,234,2019,1,821,FSU,FLO_SEM
Fordham,Atlantic 10,236,2019,1,820,FORD,FOR_RAM
Fresno St.,MWC,96,2019,1,5486,FRES,FRE_BUL
Furman,SoCon,244,2019,1,912,FURM,FUR_PAL
Ga. Southern,Sun Belt,253,2019,1,818,GASO,GEO_EAG
Gardner-Webb,Big South,1092,2019,1,826,GW,GAR_RUN
George Mason,Atlantic 10,248,2019,1,820,GMU,GEO_PAT
George Washington,Atlantic 10,249,2019,1,820,GWU,GEO_COL
Georgetown,Big East,251,2019,1,30184,GTWN,GUHoyas
Georgia,SEC,257,2019,1,911,UGA,GEO_BUL
Georgia St.,Sun Belt,254,2019,1,818,GAST,GEO_PAN
Georgia Tech,ACC,255,2019,1,821,GT,GIT_YEL
Gonzaga,WCC,260,2019,1,922,GU,GON_BUL
Grambling,SWAC,261,2019,1,916,GSU,GRA_TIG
Grand Canyon,WAC,1104,2019,1,923,GCU,GRA_CAN
Hartford,America East,272,2019,1,845,HART,HAR_HAW
Harvard,Ivy League,275,2019,1,865,HARV,HAR_CRI
Hawaii,Big West,277,2019,1,904,HAW,HAW_WAR
High Point,Big South,19651,2019,1,826,HPU,HIG_PAN
Hofstra,CAA,283,2019,1,837,HOF,HOF_PRI
Holy Cross,Patriot,285,2019,1,838,HC,HOL_CRU
Houston,AAC,288,2019,1,823,UH,HOU_COU
Houston Baptist,Southland,287,2019,1,914,HBU,HBU_HUS
Illinois,Big Ten,301,2019,1,827,ILL,ILL_ILL
Illinois St.,MVC,299,2019,1,884,ILST,ILL_RED
Incarnate Word,Southland,2743,2019,1,914,ICW,IWC
Indiana,Big Ten,306,2019,1,827,IU,IU
Indiana St.,MVC,305,2019,1,884,INST,IND_SYC
Iona,MAAC,310,2019,1,871,IONA,ION_GAE
Iowa,Big Ten,312,2019,1,827,IOWA,IOW_HAW
Jackson St.,SWAC,314,2019,1,916,JKST,JAC_TIG
Jacksonville,ASUN,316,2019,1,920,JAC,JUD
Jacksonville St.,OVC,315,2019,1,902,JVST,JAC_GAM
James Madison,CAA,317,2019,1,837,JMU,JMU_DUK
Kansas,Big 12,328,2019,1,25354,KU,KAN_JAY
Kansas St.,Big 12,327,2019,1,25354,KSU,KAN_WIL
Kennesaw St.,ASUN,1157,2019,1,920,KENN,KEN_OWL
Kent St.,MAC,331,2019,1,875,KENT,KSU
Kentucky,SEC,334,2019,1,911,UK,KEN_WIL
La Salle,Atlantic 10,340,2019,1,820,LS,LAS_EXS
La.-Monroe,Sun Belt,498,2019,1,818,ULM,ULM_WAR
Lafayette,Patriot,342,2019,1,838,LC,LAF_LEP
Lamar University,Southland,346,2019,1,914,LAM,LAM_CAR
Lehigh,Patriot,352,2019,1,838,LEH,LEH_MOU
Liberty,ASUN,355,2019,1,920,LIB,LIB_FLA
Lipscomb,ASUN,28600,2019,1,920,LIP,LIP_BIS
Little Rock,Sun Belt,32,2019,1,818,LR,LIT_TRO
LIU Brooklyn,NEC,361,2019,1,846,LIU ,LIU_BLA
Long Beach St.,Big West,99,2019,1,904,LBST,LON_DIR
Longwood,Big South,363,2019,1,826,LU,LON_LAN
Louisiana,Sun Belt,671,2019,1,818,ULL,LOU_CAJ
Louisiana Tech,C-USA,366,2019,1,24312,LTU,LOU_BUL
Louisville,ACC,367,2019,1,821,UL,LOU_CAR
Loyola Marymount,WCC,370,2019,1,922,LOU,LOY_LIO
LSU,SEC,365,2019,1,911,LSU,LSU_TIG
Maine,America East,380,2019,1,845,UME,MAI_BLA
Manhattan,MAAC,381,2019,1,871,MAN,MAN_JAS
Marist,MAAC,386,2019,1,871,MAR,MAR_RED
Marshall,C-USA,388,2019,1,24312,MRSH,MAR_THU
Maryland,Big Ten,392,2019,1,827,UMD,MAR_TER
Massachusetts,Atlantic 10,400,2019,1,820,UMASS,MAS_MMN
McNeese,Southland,402,2019,1,914,MCNS,MCN_COW
Memphis,AAC,404,2019,1,823,MEM,MT
Mercer,SoCon,406,2019,1,912,MER,MER_BEA
Miami (FL),ACC,415,2019,1,821,MIAM,MIA_HUR
Miami (OH),MAC,414,2019,1,875,MU,MIA_RED
Michigan,Big Ten,418,2019,1,827,UM,MIC_WOL
Michigan St.,Big Ten,416,2019,1,827,MSU,MIC_SPA
Middle Tenn.,C-USA,419,2019,1,24312,MTU,MTSU_BLU
Milwaukee,Horizon,797,2019,1,881,MIL,
Minnesota,Big Ten,428,2019,1,827,MIN,MIN_GOL
Mississippi St.,SEC,430,2019,1,911,MSST,MSU_BDG
Mississippi Val.,SWAC,432,2019,1,916,MVSU,MIS_DEL
Missouri,SEC,434,2019,1,911,MIZ,MIZ_TIG
Missouri St.,MVC,669,2019,1,884,MOST,MIS_BEA
Monmouth,MAAC,439,2019,1,871,MON,MON_HAW
Morehead St.,OVC,444,2019,1,902,MRST,MOR_EAG
Mount St. Mary's,NEC,450,2019,1,846,MSM,MSM_MTM
Murray St.,OVC,454,2019,1,902,MUR,MUR_RAC
N.C. A&T,MEAC,488,2019,1,876,NCAT,NOR_AGG
N.C. Central,MEAC,489,2019,1,876,NCCU,NOR_EAG
Navy,Patriot,726,2019,1,838,NAVY,NAV_MID
NC State,ACC,490,2019,1,821,NCST,NOR_WOL
Nebraska,Big Ten,463,2019,1,827,NEB,NEB
Nevada,MWC,466,2019,1,5486,NEV,NEV_WOL
New Mexico,MWC,473,2019,1,5486,NMU,MEX_LOB
New Mexico St.,WAC,472,2019,1,923,NMST,NMS_AGG
New Orleans,Southland,474,2019,1,914,UNO,NEW_PRI
Niagara,MAAC,482,2019,1,871,NU,NIA_EAG
Nicholls St.,Southland,483,2019,1,914,NIST,NIC_COL
NJIT,ASUN,471,2019,1,920,NJIT,NJI_HIG
Norfolk St.,MEAC,485,2019,1,876,NORF,NOR_SPA
North Ala.,ASUN,487,2019,1,920,NAU,ALA_LIO
North Carolina,ACC,457,2019,1,821,UNC,NOR_TAR
North Dakota St.,Summit League,493,2019,1,819,NDSU,
North Florida,ASUN,2711,2019,1,920,UNF,NOF_OSP
Northeastern,CAA,500,2019,1,837,NEU,NOR_HUS
Northern Colo.,WAC,502,2019,1,923,UNCO,NCB
Northern Ill.,MAC,503,2019,1,875,NIU,NIU_HUS
Northern Ky.,Horizon,505,2019,1,881,NKU,NOK_NOR
Northwestern,Big Ten,509,2019,1,827,NW,NOR_CAT
Northwestern St.,Southland,508,2019,1,914,NWST,NOR_DEM
Notre Dame,ACC,513,2019,1,821,ND,NOT_IRI
Oakland,Horizon,514,2019,1,881,OAK,OAK_GOL
Ohio,MAC,519,2019,1,875,OHIO,OHI_BOB
Ohio St.,Big Ten,518,2019,1,827,OSU,OSU_BUC
Oklahoma,Big 12,522,2019,1,25354,OU,OKL_SOO
Oklahoma St.,Big 12,521,2019,1,25354,OKST,OKL_COW
Old Dominion,C-USA,523,2019,1,24312,ODU,OLD_MON
Ole Miss,SEC,433,2019,1,911,MISS,OLE_REB
Omaha,Summit League,464,2019,1,819,OMA,UNO_MAV
Oral Roberts,Summit League,527,2019,1,819,ORU,ORA_GOL
Oregon,Pac-12,529,2019,1,905,UO,ORE_DUC
Oregon St.,Pac-12,528,2019,1,905,ORST,ORE_BEA
Pacific,WCC,534,2019,1,922,PAC,
Penn,Ivy League,540,2019,1,865,PENN,PEN_QUA
Penn St.,Big Ten,539,2019,1,827,PSU,PEN_NIT
Pepperdine,WCC,541,2019,1,922,PEPP,PEP_WAV
Pittsburgh,ACC,545,2019,1,821,PITT,PIT_PAN
Portland,WCC,551,2019,1,922,POR,
Prairie View,SWAC,553,2019,1,916,PV,PRA_PAN
Presbyterian,Big South,1320,2019,1,826,PRES,PRE_BLH
Princeton,Ivy League,554,2019,1,865,PRIN,
Purdue,Big Ten,559,2019,1,827,PUR,PUR_BOI
Purdue Fort Wayne,Summit League,308,2019,1,819,PUFW,
Quinnipiac,MAAC,562,2019,1,871,QUIN,QUI_BOB
Radford,Big South,563,2019,1,826,RAD,RAD_HIG
Rhode Island,Atlantic 10,572,2019,1,820,URI,
Rice,C-USA,574,2019,1,24312,RICE,RIC_OWL
Richmond,Atlantic 10,575,2019,1,820,RICH,RIC_SPI
Rider,MAAC,576,2019,1,871,RID,
Rutgers,Big Ten,587,2019,1,827,RUT,RUT_SCA
Sacramento St.,WAC,102,2019,1,923,SAC,
Sacred Heart,NEC,590,2019,1,846,SHU,SAC_PIO
Saint Joseph's,Atlantic 10,606,2019,1,820,SJU,
Saint Louis,Atlantic 10,609,2019,1,820,SLU,
Saint Mary's (CA),WCC,610,2019,1,922,SMC,STM_GAE
Saint Peter's,MAAC,617,2019,1,871,SAIN,
Sam Houston St.,Southland,624,2019,1,914,SHSU,SAM_BEA
Samford,SoCon,625,2019,1,912,SAMF,SAM_BUL
San Diego,WCC,627,2019,1,922,USD,SAN_TOR
San Diego St.,MWC,626,2019,1,5486,SDSU,SAN_AZT
San Francisco,WCC,629,2019,1,922,SF,SAN_DON
San Jose St.,MWC,630,2019,1,5486,SJSU,SAN_SPA
Santa Clara,WCC,631,2019,1,922,SCU,
Savannah St.,MEAC,632,2019,1,876,SVST,
Seattle U,WAC,1356,2019,1,923,SEA,
Seton Hall,Big East,635,2019,1,30184,SET,SET_PIR
SFA,Southland,676,2019,1,914,SFA,
Siena,MAAC,639,2019,1,871,SIE,
SIUE,OVC,660,2019,1,902,SIUE,
South Alabama,Sun Belt,646,2019,1,818,SAU,
South Carolina,SEC,648,2019,1,911,SC,SOU_GAM
South Dakota St.,Summit League,649,2019,1,819,SDST,
South Fla.,AAC,651,2019,1,823,USF,USF_BUL
Southeast Mo. St.,OVC,654,2019,1,902,SEMO,SOU_RED
Southeastern La.,Southland,655,2019,1,914,SELA,SOU_LIO
Southern California,Pac-12,657,2019,1,905,USC,SOU_TRO
Southern Ill.,MVC,659,2019,1,884,SIU,
Southern Miss.,C-USA,664,2019,1,24312,USM,SOU_GOL
Southern U.,SWAC,665,2019,1,916,SOU,SOU_JAG
St. Bonaventure,Atlantic 10,596,2019,1,820,SBU,STB_BON
St. John's (NY),Big East,603,2019,1,30184,SJ,
Stanford,Pac-12,674,2019,1,905,STAN,STA_CAR
Stetson,ASUN,678,2019,1,920,STE,STE_LUM
Stony Brook,America East,683,2019,1,845,SB,SBU_SEA
TCU,Big 12,698,2019,1,25354,TCU,TCU_HFG
Tennessee,SEC,694,2019,1,911,TENN,TEN_VOL
Tennessee Tech,OVC,692,2019,1,902,TNTC,
Texas,Big 12,703,2019,1,25354,UT,TEX_LON
Texas A&M,SEC,697,2019,1,911,TAMU,TEX_AGG
Texas Southern,SWAC,699,2019,1,916,TSU,TEX_TIG
Texas St.,Sun Belt,670,2019,1,818,TXST,TEX_BOB
Texas Tech,Big 12,700,2019,1,25354,TTU,TEX_RAI
The Citadel,SoCon,141,2019,1,912,CIT,CIT_BUL
Toledo,MAC,709,2019,1,875,TOL,TOL_ROC
Towson,CAA,711,2019,1,837,TOW,TOW_TIG
Troy,Sun Belt,716,2019,1,818,TROY,TRO_TRJ
Tulane,AAC,718,2019,1,823,TUL,TUL_GRE
UAB,C-USA,9,2019,1,24312,UAB,UAB_BLA
UC Davis,Big West,108,2019,1,904,UCD,
UC Irvine,Big West,109,2019,1,904,UCI,CAL_ANT
UC Riverside,Big West,111,2019,1,904,UCR,
UC Santa Barbara,Big West,104,2019,1,904,UCSB,UCSB_GAU
UCF,AAC,128,2019,1,823,UCF,UCF_KNI
UCLA,Pac-12,110,2019,1,905,UCLA,UCLA
UConn,AAC,164,2019,1,823,CONN,UCO_HUS
UIC,Horizon,302,2019,1,881,UIC,UIC_FLA
UMass Lowell,America East,368,2019,1,845,UML,UMASS_RIV
UMBC,America East,391,2019,1,845,UMBC,
UMES,MEAC,393,2019,1,876,UMES,
UNC Asheville,Big South,456,2019,1,826,UNCA,
UNC Greensboro,SoCon,459,2019,1,912,UNCG,UNC_SPA
UNCW,CAA,460,2019,1,837,UNCW,UNC_SEA
UNLV,MWC,465,2019,1,5486,UNLV,
USC Upstate,Big South,10411,2019,1,826,USCU,USC_UPS
UT Arlington,Sun Belt,702,2019,1,818,UTA,ARL_MAV
UT Martin,OVC,695,2019,1,902,UTM,UTM_SKY
Utah,Pac-12,732,2019,1,905,UTAH,UTA_UTE
Utah Valley,WAC,30024,2019,1,923,UVU,UTA_WOL
UTRGV,WAC,536,2019,1,923,UTRG,UTR_VAQ
UTSA,C-USA,706,2019,1,24312,UTSA,UTS_ROA
Valparaiso,MVC,735,2019,1,884,VAL,VAL_CRU
Vanderbilt,SEC,736,2019,1,911,VAN,VAN_COM
VCU,Atlantic 10,740,2019,1,820,VCU,VCU_RAM
Villanova,Big East,739,2019,1,30184,VU,
Virginia,ACC,746,2019,1,821,UVA,VIR_CAV
Virginia Tech,ACC,742,2019,1,821,VTU,VT
VMI,SoCon,741,2019,1,912,VMI,
Wagner,NEC,748,2019,1,846,WAG,
Wake Forest,ACC,749,2019,1,821,WF,WAK_DEA
Washington,Pac-12,756,2019,1,905,UW,
Washington St.,Pac-12,754,2019,1,905,WSU,WAS_COU
West Virginia,Big 12,768,2019,1,25354,WVU,WES_MOU
Western Caro.,SoCon,769,2019,1,912,WCU,
Western Ill.,Summit League,771,2019,1,819,WIU,WIU_LEA
Western Ky.,C-USA,772,2019,1,24312,WKU,WES_HIL
Western Mich.,MAC,774,2019,1,875,WMU,WMI_BRO
Wichita St.,AAC,782,2019,1,823,WICH,WIC_SHO
William & Mary,CAA,786,2019,1,837,WM,WM_TRI
Winthrop,Big South,792,2019,1,826,WIN,WIN_EAG
Wofford,SoCon,2915,2019,1,912,WOF,
Wright St.,Horizon,810,2019,1,881,WRST,WRI_RAI
Xavier,Big East,812,2019,1,30184,XAV,XAV_MUS
Yale,Ivy League,813,2019,1,865,YALE,
Youngstown St.,Horizon,817,2019,1,881,YSU,YSU_PEN
